,Video title,Comment,Processed_Comment
114,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Part 2 chahiye mere ko aor kisko kisko chahiye part 2 comment karo super movie,part chahiye mere ko aor kisko kisko chahiye part comment karo super movie
115,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Mujhe bhi bina search kar k mili gayi,mujhe bhi bina search kar k mili gayi
116,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Kushinagar se kon kon Dekh raha hai,kushinagar se kon kon dekh raha hai
117,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",it is not kalki,kalki
118,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Bahraich se,bahraich se
119,"Kalki | New Released Full Movie Hindi Dubbed | Prabhas, Amitabh B, Disha P | Prabhas New Movie 2024",Mahoba up95 se kon kon dekh rha hai like kro,mahoba se kon kon dekh rha hai like kro
120,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5 march mein kon kon dekh rha h,march mein kon kon dekh rha h
121,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5th march. Today it&#39;s my birthday and i watching this. Jo jo mere comment par rahi hai wo mujhe blessing dete rehna🎉🎉❤❤thank you❤❤🌹🌹,th march today birthday watching jo jo mere comment par rahi hai wo mujhe blessing dete rehnathank
122,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Banaras se 5 March ko kon dekh Raha hai,banaras se march ko kon dekh raha hai
123,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Bahut bakwas movie tha😢,bahut bakwas movie tha
124,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5 March 2024 ko kon kon dekh raha h ye movie,march ko kon kon dekh raha h ye movie
125,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Yr is movie me shadi hindu traditions se kria <br>Kabool ha kria nhi😂,yr movie shadi hindu tradition se kria brkabool ha kria nhi
126,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Kon-kon Ramzan ka vate Kar Raha hai 🕋🕋,konkon ramzan ka vate kar raha hai
127,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,jo single abhi tk ho like kre❤,jo single abhi tk ho like kre
128,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Rajasthan me kon dek rha h 5march like kre,rajasthan kon dek rha h march like kre
129,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,I have seen love in this movie.,seen love movie
130,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Maine to 2030 me dekha h ye movie 😂😂,maine dekha h ye movie
131,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5 March 2024 me kon dekh raha hai ye movie 👀😁,march kon dekh raha hai ye movie
132,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,Punjab to kon dekh rha movies,punjab kon dekh rha movie
133,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5 march 2024 me kon kon dekh raha hai like kare ❤️,march kon kon dekh raha hai like kare
134,Kalank  Hindi Movie || Sanjay Dutt | Madhuri Dixit | Varun Dhawan | Alia Bhatt | Sonakshi Sinha,5 march 2024 ko koun dekh raha hai ye movie 😊,march ko koun dekh raha hai ye movie
135,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie","Kis kis ko apni pyaar ki yaad aa rhi h, <br>Ye movie🍿 dekh ke.... ❤",ki ki ko apni pyaar ki yaad aa rhi h brye movie dekh ke
136,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie",Is movie ke writer ne movie nahi likhi Salman Bhai ka future likha hai 😂😂😂,movie ke writer ne movie nahi likhi salman bhai ka future likha hai
139,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie",Mujhe movie to achha laga leki aasu aane lage😢😢,mujhe movie achha laga leki aasu aane lage
140,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie",Sach a nice love 💕 stot❤❤❤❤,sach nice love stot
141,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie",Dil wale dulhaniya le jayenge Full movie uplod kijiye please,dil wale dulhaniya le jayenge full movie uplod kijiye please
142,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie",🎉😂❤😢❤❤❤❤❤❤ Salman Khan,salman khan
144,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie",Ajay is just fabulous😊,ajay fabulous
145,"HUM DIL DE CHUKE SANAM Full Bollywood Movie | Salman Khan, Aishwarya Rai, Ajay Devgan | Hindi Movie",2024/3/5 me dekrahihu 😅,dekrahihu
